date,state,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
2021-03-11,Melaka,869,0,869,0,0,6993,0,6993,0,0,869,0,0,0,0,0,0,0
2021-03-11,Negeri Sembilan,60,0,60,0,0,10847,1,10848,0,0,60,0,0,0,0,0,0,0
2021-03-11,Pahang,1880,0,1880,0,0,19448,2,19450,0,0,1880,0,0,0,0,0,0,0
2021-03-11,Perak,3716,0,3716,0,0,20914,1,20915,0,0,3716,0,0,0,0,0,0,0
2021-03-11,Perlis,765,0,765,0,0,6020,1,6021,0,0,765,0,0,0,0,0,0,0
2021-03-11,Pulau Pinang,2875,0,2875,0,0,12915,9,12924,0,0,2875,0,0,0,0,0,0,0
2021-03-11,Sabah,1950,0,1950,0,0,22823,7,22830,0,0,1950,0,0,0,0,0,0,0
2021-03-11,Sarawak,18,0,18,0,0,26645,15,26660,0,0,18,0,0,0,0,0,0,0
2021-03-11,Selangor,5086,0,5086,0,0,29437,9,29446,0,0,5086,0,0,0,0,0,0,0
2021-03-11,Terengganu,0,0,0,0,0,13555,2,13557,0,0,0,0,0,0,0,0,0,0
2021-03-11,W.P. Kuala Lumpur,4755,0,4755,0,0,25596,2,25598,0,0,4755,0,0,0,0,0,0,0
2021-03-11,W.P. Labuan,2,0,2,0,0,2377,2,2379,0,0,2,0,0,0,0,0,0,0
